Country (code),Country,Year,Sex,Youth unemployed ('000),Youth labour force ('000),Youth unemployment rate (%),Adult unemployed ('000),Adult labour force ('000),Ratio of youth unemployment rate to adult unemployment rate,Total unemployed ('000),Share of youth unemployed in total unemployed (%),Youth population ('000),Share of youth unemployed in youth population (%),Adult unemployment rate (%),Repository (code),Type of source (code),Coverage (code),Age,Notes
JM,Jamaica,2006,M,  20.2,,,  27.8,,,  48.0,42.1,,,,LABORSTA,HS,C,Youth: 14-24; Adult: 25+,
JM,Jamaica,2007,M,  15.9,,,  21.9,,,  37.8,42.1,,,,LABORSTA,HS,C,Youth: 14-24; Adult: 25+,
JM,Jamaica,2008 b,M,  21.175,  107.325,19.7,  30.775,  605.825,3.9,  51.95,40.8,  257.0,8.2,5.1,NSO,LFS,T,Youth: 15-24; Adult: 25+,
JM,Jamaica,2009,M,  21.875,  97.325,22.5,  37.625,  601.175,3.6,  59.5,36.8,  256.425,8.5,6.3,NSO,LFS,T,Youth: 15-24; Adult: 25+,
JP,Japan,1980,M,  140.0, 3 520.0,4.0,  560.0, 31 120.0,2.2,  700.0,20.0, 8 210.0,1.7,1.8,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,1981,M,  150.0, 3 540.0,4.2,  660.0, 31 440.0,2.0,  810.0,18.5, 8 190.0,1.8,2.1,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,1982,M,  150.0, 3 570.0,4.2,  690.0, 31 700.0,1.9,  840.0,17.9, 8 250.0,1.8,2.2,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,1983,M,  170.0, 3 700.0,4.6,  790.0, 31 940.0,1.9,  960.0,17.7, 8 420.0,2.0,2.5,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,1984,M,  180.0, 3 710.0,4.9,  750.0, 32 110.0,2.1,  930.0,19.4, 8 570.0,2.1,2.3,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,1985,M,  180.0, 3 720.0,4.8,  760.0, 32 250.0,2.1,  940.0,19.1, 8 740.0,2.1,2.4,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,1986,M,  200.0, 3 820.0,5.2,  790.0, 32 440.0,2.1,  990.0,20.2, 8 960.0,2.2,2.4,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,1987,M,  210.0, 3 870.0,5.4,  850.0, 32 680.0,2.1, 1 060.0,19.8, 9 170.0,2.3,2.6,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,1988,M,  200.0, 3 960.0,5.1,  710.0, 32 980.0,2.3,  910.0,22.0, 9 400.0,2.1,2.2,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,1989,M,  190.0, 4 060.0,4.7,  630.0, 33 290.0,2.5,  820.0,23.2, 9 600.0,2.0,1.9,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,1990,M,  190.0, 4 210.0,4.5,  580.0, 33 790.0,2.6,  770.0,24.7, 9 700.0,2.0,1.7,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,1991,M,  210.0, 4 450.0,4.7,  540.0, 34 100.0,3.0,  750.0,28.0, 9 870.0,2.1,1.6,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,1992,M,  210.0, 4 590.0,4.6,  610.0, 34 420.0,2.6,  820.0,25.6, 9 830.0,2.1,1.8,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,1993,M,  230.0, 4 660.0,4.9,  730.0, 34 700.0,2.3,  960.0,24.0, 9 780.0,2.4,2.1,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,1994,M,  260.0, 4 650.0,5.6,  860.0, 34 860.0,2.3, 1 120.0,23.2, 9 680.0,2.7,2.5,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,1995,M,  280.0, 4 580.0,6.1,  940.0, 35 080.0,2.3, 1 220.0,23.0, 9 540.0,2.9,2.7,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,1996,M,  310.0, 4 560.0,6.8, 1 030.0, 35 350.0,2.3, 1 340.0,23.1, 9 320.0,3.3,2.9,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,1997,M,  310.0, 4 470.0,6.9, 1 050.0, 35 790.0,2.4, 1 360.0,22.8, 9 050.0,3.4,2.9,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,1998,M,  350.0, 4 290.0,8.2, 1 320.0, 35 960.0,2.2, 1 670.0,21.0, 8 790.0,4.0,3.7,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,1999,M,  420.0, 4 070.0,10.3, 1 520.0, 36 170.0,2.5, 1 940.0,21.6, 8 530.0,4.9,4.2,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,2000,M,  410.0, 3 930.0,10.4, 1 580.0, 36 210.0,2.4, 1 990.0,20.6, 8 290.0,4.9,4.4,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,2001,M,  400.0, 3 750.0,10.7, 1 680.0, 36 170.0,2.3, 2 080.0,19.2, 8 060.0,5.0,4.6,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,2002,M,  410.0, 3 600.0,11.4, 1 800.0, 35 960.0,2.3, 2 210.0,18.6, 7 830.0,5.2,5.0,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,2003,M,  400.0, 3 460.0,11.6, 1 750.0, 35 850.0,2.4, 2 150.0,18.6, 7 650.0,5.2,4.9,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,2004,M,  350.0, 3 290.0,10.6, 1 550.0, 35 740.0,2.5, 1 900.0,18.4, 7 470.0,4.7,4.3,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,2005,M,  320.0, 3 220.0,9.9, 1 460.0, 35 780.0,2.4, 1 780.0,18.0, 7 280.0,4.4,4.1,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,2006,M,  280.0, 3 180.0,8.8, 1 400.0, 35 810.0,2.3, 1 680.0,16.7, 7 110.0,3.9,3.9,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,2007,M,  260.0, 3 140.0,8.3, 1 300.0, 35 920.0,2.3, 1 560.0,16.7, 6 970.0,3.7,3.6,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,2008,M,  240.0, 3 040.0,7.9, 1 360.0, 35 840.0,2.1, 1 600.0,15.0, 6 830.0,3.5,3.8,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,2009,M,  290.0, 2 880.0,10.1, 1 740.0, 35 600.0,2.1, 2 030.0,14.3, 6 700.0,4.3,4.9,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JP,Japan,2010,M,  290.0, 2 780.0,10.4, 1 760.0, 35 400.0,2.1, 2 050.0,14.1, 6 570.0,4.4,5.0,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
JO,Jordan,2007,M,,,23.7,,,3.8,,,,,6.2,NSO,LFS,T,Youth: 15-24; Adult: 25+,
JO,Jordan,2008,M,,,22.8,,,3.6,,,,,6.3,NSO,LFS,T,Youth: 15-24; Adult: 25+,
JO,Jordan,2009,M,,,22.6,,,3.4,,,,,6.6,NSO,LFS,T,Youth: 15-24; Adult: 25+,
KZ,Kazakhstan,2001,M,  115.9,,,  222.1,,,  338.0,34.3,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
KZ,Kazakhstan,2002,M,  94.9,  605.5,15.7,  188.9, 3 164.7,2.6,  283.8,33.4, 1 117.1,8.5,6.0,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
KZ,Kazakhstan,2003,M,  91.7,  709.7,12.9,  189.7, 3 189.9,2.2,  281.4,32.6, 1 321.2,6.9,5.9,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
KZ,Kazakhstan,2004 b,M,  96.4,  736.5,13.1,  184.8, 3 263.1,2.3,  281.2,34.3, 1 394.2,6.9,5.7,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,
KZ,Kazakhstan,2005,M,  94.7,,,  176.2,,,  270.9,35.0,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,
KZ,Kazakhstan,2006,M,  76.1,,,  186.5,,,  262.6,29.0,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,
KZ,Kazakhstan,2007,M,  62.9,,,  181.8,,,  244.7,25.7,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,
KZ,Kazakhstan,2008 b,M,  48.3,  714.0,6.8,  178.1, 3 530.2,1.3,  226.4,21.3, 1 430.2,3.4,5.0,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,
KZ,Kazakhstan,2009 b,M,  39.0,,,  39.0,,,  239.3,16.3,,,,NSO,LFS,C,Youth: 15-24; Adult: 25+,
KR,"Korea, Republic of",1980,M,  216.0, 1 556.0,13.9,  343.0, 7 465.0,3.0,  559.0,38.6, 3 354.0,6.4,4.6,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
KR,"Korea, Republic of",1981,M,  199.0, 1 511.0,13.2,  329.0, 7 695.0,3.1,  528.0,37.7, 3 438.0,5.8,4.3,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
KR,"Korea, Republic of",1982,M,  190.0, 1 486.0,12.8,  319.0, 7 780.0,3.1,  509.0,37.3, 3 454.0,5.5,4.1,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
KR,"Korea, Republic of",1983,M,  159.0, 1 299.0,12.2,  326.0, 8 005.0,3.0,  485.0,32.8, 3 391.0,4.7,4.1,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",1984,M,  140.0, 1 222.0,11.5,  305.0, 8 116.0,3.0,  445.0,31.5, 3 511.0,4.0,3.8,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",1985,M,  154.0, 1 153.0,13.4,  326.0, 8 464.0,3.5,  480.0,32.1, 3 499.0,4.4,3.9,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",1986,M,  139.0, 1 130.0,12.3,  344.0, 8 690.0,3.1,  483.0,28.8, 3 562.0,3.9,4.0,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",1987,M,  108.0, 1 080.0,10.0,  289.0, 9 059.0,3.1,  397.0,27.2, 3 514.0,3.1,3.2,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",1988,M,  96.0,  983.0,9.8,  219.0, 9 432.0,4.2,  315.0,30.5, 3 476.0,2.8,2.3,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",1989,M,  90.0,  999.0,9.0,  239.0, 9 739.0,3.7,  329.0,27.4, 3 526.0,2.6,2.5,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",1990,M,  95.0, 1 002.0,9.5,  226.0, 10 029.0,4.2,  321.0,29.6, 3 534.0,2.7,2.3,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",1991,M,  111.0, 1 149.0,9.7,  196.0, 10 279.0,5.1,  307.0,36.2, 3 672.0,3.0,1.9,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",1992,M,  106.0, 1 139.0,9.3,  217.0, 10 553.0,4.5,  323.0,32.8, 3 595.0,2.9,2.1,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",1993,M,  130.0, 1 088.0,11.9,  261.0, 10 794.0,4.9,  391.0,33.2, 3 535.0,3.7,2.4,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",1994,M,  101.0, 1 100.0,9.2,  245.0, 11 075.0,4.2,  346.0,29.2, 3 462.0,2.9,2.2,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",1995,M,  84.0, 1 077.0,7.8,  204.0, 11 358.0,4.3,  288.0,29.2, 3 452.0,2.4,1.8,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",1996,M,  86.0, 1 058.0,8.1,  213.0, 11 591.0,4.4,  299.0,28.8, 3 459.0,2.5,1.8,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",1997,M,  92.0, 1 000.0,9.2,  270.0, 11 844.0,4.0,  362.0,25.4, 3 425.0,2.7,2.3,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",1998,M,  193.0,  941.0,20.5,  813.0, 11 910.0,3.0, 1 006.0,19.2, 3 391.0,5.7,6.8,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",1999,M,  161.0,  922.0,17.5,  765.0, 11 958.0,2.7,  926.0,17.4, 3 306.0,4.9,6.4,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",2000,M,  124.6,  921.8,13.5,  522.4, 12 111.8,3.1,  647.0,19.3, 3 242.2,3.8,4.3,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",2001,M,  112.0,  879.2,12.7,  478.8, 12 292.8,3.3,  590.8,19.0, 3 159.4,3.5,3.9,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",2002,M,  91.4,  885.3,10.3,  399.5, 12 549.6,3.2,  490.9,18.6, 3 096.2,3.0,3.2,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",2003,M,  101.0,  852.8,11.8,  406.9, 12 685.9,3.7,  507.9,19.9, 3 030.0,3.3,3.2,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",2004,M,  104.1,  851.7,12.2,  430.0, 12 875.6,3.7,  534.1,19.5, 2 956.5,3.5,3.3,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",2005,M,  93.5,  763.3,12.2,  459.1, 13 119.3,3.5,  552.6,16.9, 2 855.1,3.3,3.5,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",2006,M,  80.0,  685.0,11.7,  452.0, 13 293.0,3.4,  532.0,15.0, 2 817.0,2.8,3.4,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",2007,M,  74.0,  651.0,11.4,  443.0, 13 473.0,3.5,  517.0,14.3, 2 818.0,2.6,3.3,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",2008,M,  68.0,  591.0,11.5,  438.0, 13 618.0,3.6,  506.0,13.4, 2 816.0,2.4,3.2,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",2009,M,  69.0,  580.0,11.9,  517.0, 13 739.0,3.2,  586.0,11.8, 2 836.0,2.4,3.8,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KR,"Korea, Republic of",2010,M,  65.0,  579.0,11.2,  514.0, 13 914.0,3.0,  579.0,11.2, 2 872.0,2.3,3.7,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
KW,Kuwait,1983,M,  3.034,  57.6,5.3,  1.665,  346.3,11.0,  4.699,64.6,  142.0,2.1,0.5,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,
KW,Kuwait,1995 b,M,  8.697,  55.716,15.6,  4.477,  504.712,17.6,  13.174,66.0,  125.288,6.9,0.9,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,
KW,Kuwait,2005,M,  11.222,  94.9,11.8,  5.91,  763.3,15.3,  17.132,65.5,,,0.8,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,
KG,Kyrgyzstan,2002,M,  53.2,  276.1,19.3,  79.6,  907.8,2.2,  132.8,40.1,  501.8,10.6,8.8,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: November
KG,Kyrgyzstan,2003,M,  41.8,,,  71.5,,,  113.3,36.9,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: November
KG,Kyrgyzstan,2004,M,  38.9,  287.3,13.5,  59.9,  952.2,2.2,  98.8,39.4,  527.9,7.4,6.3,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: November
KG,Kyrgyzstan,2005,M,  40.4,  303.0,13.3,  55.3,  988.5,2.4,  95.7,42.2,,,5.6,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: November
KG,Kyrgyzstan,2006,M,  41.7,  307.7,13.6,  59.7, 1 008.1,2.3,  101.4,41.1,  540.4,7.7,5.9,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
LA,Lao People's Democratic Republic,1995,M,  16.843,  261.373,6.4,  7.456,  760.393,6.6,  26.225,64.2,  393.175,4.3,1.0,NSO,PC,C,Youth: 15-24; Adult: 25+,Reference period: March of the preceding year to March of the current year
LV,Latvia,1996,M,  33.1,  96.7,34.2,  95.0,  526.1,1.9,  128.1,25.8,  169.4,19.5,18.1,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Coverage limitation: Excluding conscripts
LV,Latvia,1997,M,  22.2,  87.2,25.5,  68.8,  527.9,2.0,  91.0,24.4,  168.4,13.2,13.0,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Coverage limitation: Excluding conscripts
LV,Latvia,1998 b,M,  41.3,  70.1,58.9,  150.5,  473.8,1.9,  191.8,21.5,  166.9,24.7,31.8,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
LV,Latvia,1999,M,  42.2,  73.5,57.4,  147.1,  474.6,1.9,  189.3,22.3,  167.8,25.1,31.0,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
LV,Latvia,2000,M,  40.2,  72.2,55.7,  148.0,  489.5,1.8,  188.2,21.4,  166.6,24.1,30.2,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
LV,Latvia,2001,M,  37.9,  71.9,52.7,  143.5,  498.8,1.8,  181.4,20.9,  165.6,22.9,28.8,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
LV,Latvia,2002,M,  37.2,  69.1,53.8,  146.2,  506.2,1.9,  183.4,20.3,  163.9,22.7,28.9,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
LV,Latvia,2003,M,  23.3,  84.3,27.6,  68.5,  513.0,2.1,  91.8,25.4,  167.9,13.9,13.4,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
LV,Latvia,2004,M,  22.2,  84.6,26.2,  61.5,  505.4,2.2,  83.7,26.5,  170.6,13.0,12.2,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
LV,Latvia,2005,M,  16.2,  77.4,20.9,  69.2,  492.9,1.5,  85.4,19.0,  172.8,9.4,14.0,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
LV,Latvia,2006,M,  18.2,  75.9,24.0,  64.5,  490.4,1.8,  82.7,22.0,  173.1,10.5,13.2,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
LV,Latvia,2007,M,  18.9,  75.4,25.1,  67.5,  509.4,1.9,  86.4,21.9,  174.8,10.8,13.3,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
LV,Latvia,2008,M,  11.3,  82.3,13.7,  48.3,  491.4,1.4,  59.6,19.0,  177.9,6.4,9.8,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
LV,Latvia,2009,M,  11.5,  77.4,14.9,  44.0,  509.7,1.7,  55.5,20.7,  181.2,6.3,8.6,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
LV,Latvia,2010,M,  9.4,  80.0,11.8,  43.7,  506.3,1.4,  53.1,17.7,  182.6,5.1,8.6,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
LB,Lebanon,2004,M,  33.2,  163.9,20.3,  34.1,  811.4,4.8,  67.3,49.3,  383.2,8.7,4.2,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
LB,Lebanon,2007,M,  36.2,  162.6,22.3,  43.3,  759.2,3.9,  79.5,45.5,  387.5,9.3,5.7,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
LS,Lesotho,1997,M,  34.08,  90.02,37.9,  46.11,  171.24,1.4,  80.2,42.5,  156.86,21.7,26.9,NSO,LFS,C,Youth: 15-24; Adult: 25+,
LS,Lesotho,1999 b,M,  36.853,  142.8,25.8,  44.35,  235.4,1.4,  81.203,45.4,  202.2,18.2,18.8,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
LS,Lesotho,2008 b,M,  33.491,  115.507,29.0,  60.831,  293.977,1.4,  94.322,35.5,  219.828,15.2,20.7,NSO,HS,T,Youth: 15-24; Adult: 25-64,
LR,Liberia,2007,M,  9.0,  157.0,5.7,  31.0,  428.0,0.8,  40.0,22.5,,,7.2,NSO,CWIQ,T,Youth: 15-24; Adult: 25+,Reference period: August
LR,Liberia,2010 b,M,  3.153,  93.796,3.9,  15.723,  478.874,1.2,  18.9,16.7,,,3.3,NSO,LFS,T,Youth: 15-24; Adult: 25+,
LT,Lithuania,1997,M,  43.1,  151.0,28.5,  93.8,  807.3,2.5,  136.9,31.5,  296.9,14.5,11.6,LABORSTA,HS,T,Youth: 14-24; Adult: 25+,Coverage limitation: Excluding conscripts
LT,Lithuania,1998 b,M,  9.2,  87.6,10.5,  35.6,  514.4,1.5,  44.8,20.5,  183.3,5.0,6.9,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
LT,Lithuania,1999,M,  10.0,  89.3,11.2,  29.1,  522.6,2.0,  39.1,25.6,  182.8,5.5,5.6,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
LT,Lithuania,2000,M,  11.6,  87.9,13.2,  37.9,  533.7,1.9,  49.5,23.4,  180.0,6.4,7.1,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
LT,Lithuania,2001,M,  30.5,  81.4,37.5,  91.2,  518.0,2.1,  121.7,25.1,  173.8,17.5,17.6,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
LT,Lithuania,2002,M,  25.3,  71.5,35.4,  100.4,  509.1,1.8,  125.7,20.1,  166.3,15.2,19.7,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
LT,Lithuania,2003,M,  39.1,  133.6,29.3,  99.7,  768.8,2.3,  138.8,28.2,  250.8,15.6,13.0,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
LT,Lithuania,2004,M,  34.9,  121.1,28.8,  93.8,  757.6,2.3,  128.7,27.1,  250.1,14.0,12.4,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
LT,Lithuania,2005,M,  31.0,  104.9,29.6,  124.3,  747.5,1.8,  155.3,20.0,  251.3,12.3,16.6,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
LT,Lithuania,2006,M,  34.5,  94.3,36.6,  128.6,  741.6,2.1,  163.1,21.2,  248.1,13.9,17.3,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
LT,Lithuania,2007,M,  17.5,  89.5,19.6,  92.7,  743.9,1.6,  110.2,15.9,  248.9,7.0,12.5,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
LT,Lithuania,2008,M,  20.2,  90.9,22.2,  86.3,  757.6,2.0,  106.5,19.0,  254.7,7.9,11.4,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
LT,Lithuania,2009,M,  20.4,  86.2,23.7,  71.1,  740.4,2.5,  91.5,22.3,  261.7,7.8,9.6,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
LT,Lithuania,2010,M,  12.6,  78.8,16.0,  54.6,  739.3,2.2,  67.2,18.8,  266.7,4.7,7.4,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
LU,Luxembourg,1983,M,  1.0,  17.8,5.6,  1.264,  81.73,3.6,  2.264,44.2,  28.4,3.5,1.5,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: May
LU,Luxembourg,1984,M,  0.9,  17.1,5.3,  1.163,  82.345,3.7,  2.063,43.6,  27.9,3.2,1.4,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: May
LU,Luxembourg,1985,M,  1.1,  16.4,6.7,  1.123,  83.126,5.0,  2.223,49.5,  27.8,4.0,1.4,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: May
LU,Luxembourg,1986,M,  0.9,  16.5,5.5,  1.005,  83.368,4.5,  1.905,47.3,  27.6,3.3,1.2,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: May
LU,Luxembourg,1987,M,  0.6,  15.9,3.8,  1.135,  86.579,2.9,  1.735,34.6,  27.1,2.2,1.3,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: May
LU,Luxembourg,1988,M,  0.7,  14.9,4.7,  0.797,  86.173,5.1,  1.497,46.8,  27.8,2.5,0.9,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: May
LU,Luxembourg,1989,M,  0.3,  14.0,2.1,  0.772,  87.382,2.4,  1.072,28.0,  25.8,1.2,0.9,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: May
LU,Luxembourg,1990,M,  0.3,  11.3,2.7,  0.915,  92.791,2.7,  1.215,24.7,  24.7,1.2,1.0,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: May
LU,Luxembourg,1991,M,  0.4,  14.5,2.8,  0.804,  91.561,3.1,  1.204,33.2,  25.7,1.6,0.9,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: May
LU,Luxembourg,1992 b,M,  0.6,  13.2,4.5,  1.11,  92.211,3.8,  1.71,35.1,  25.4,2.4,1.2,OECD,ELFS,T,Youth: 15-24; Adult: 25+,"Reference period: May
Survey limitation: Definition of unemployment revised."
